who,overlap,years,color
Afghanistan,Mexico,1,#333333
Afghanistan,Uzbekistan,1,#333333
Algeria,Italy,1,#333333
Algeria,Spain,1,#333333
Algeria,Scotland,1,#333333
Algeria,Turkey,1,#333333
Algeria,Jordan,1,#333333
Algeria,Lebanon,1,#333333
Algeria,Netherlands,1,#333333
Argentina,Mexico,4,#333333
Argentina,Australia,2,#333333
Argentina,Kenya,3,#333333
Argentina,Denmark,2,#333333
Argentina,Scotland,1,#333333
Argentina,France,1,#333333
Argentina,Slovenia,1,#333333
Argentina,Spain,2,#333333
Argentina,Italy,1,#333333
Argentina,Japan,1,#333333
Argentina,Austria,1,#333333
Argentina,Germany,1,#333333
Argentina,Belgium,1,#333333
Argentina,Chile,1,#333333
Argentina,USA,1,#333333
Australia,Kenya,8,#333333
Australia,Philippines,15,#333333
Australia,Mexico,6,#333333
Australia,Argentina,2,#333333
Australia,Germany,5,#333333
Australia,Austria,3,#333333
Australia,Lebanon,1,#333333
Australia,Brazil,3,#333333
Australia,Malaysia,3,#333333
Australia,India,4,#333333
Australia,USA,16,#333333
Australia,Niger,1,#333333
Australia,Vietnam,3,#333333
Australia,Norway,3,#333333
Australia,Spain,1,#333333
Australia,England,5,#333333
Australia,Colombia,1,#333333
Australia,Nepal,1,#333333
Australia,Bangladesh,4,#333333
Australia,Sri Lanka,4,#333333
Australia,Tunisia,1,#333333
Australia,Sudan,1,#333333
Australia,Ghana,3,#333333
Australia,Indonesia,5,#333333
Australia,Laos,3,#333333
Australia,Scotland,3,#333333
Australia,Belgium,1,#333333
Australia,Ethiopia,1,#333333
Australia,South Africa,5,#333333
Australia,Netherlands,3,#333333
Australia,Japan,4,#333333
Australia,Tanzania,1,#333333
Australia,Denmark,4,#333333
Australia,France,2,#333333
Australia,Zimbabwe,1,#333333
Australia,Portugal,1,#333333
Australia,China,4,#333333
Australia,Uganda,1,#333333
Australia,Syria,1,#333333
Australia,Cameroon,2,#333333
Australia,Egypt,1,#333333
Australia,Italy,1,#333333
Australia,Canada,1,#333333
Austria,Uganda,1,#333333
Austria,Kenya,6,#333333
Austria,Australia,3,#333333
Austria,Germany,4,#333333
Austria,Lebanon,1,#333333
Austria,China,2,#333333
Austria,England,2,#333333
Austria,USA,4,#333333
Austria,Netherlands,2,#333333
Austria,Ecuador,2,#333333
Austria,Colombia,1,#333333
Austria,Peru,2,#333333
Austria,Ethiopia,1,#333333
Austria,Italy,1,#333333
Austria,Japan,1,#333333
