who,overlap,years,color
AfricaRice,Non-CGIAR,8,#333333
AfricaRice,AfricaRice,5,#333333
Bioversity International,Non-CGIAR,4,#333333
CGIAR,Non-CGIAR,1,#333333
CIAT,CIAT,3,#333333
CIAT,Non-CGIAR,11,#333333
CIAT,IITA,2,#333333
CIAT,ILRI,1,#333333
CIAT,CIP,1,#333333
CIFOR,Non-CGIAR,4,#333333
CIFOR,IITA,1,#333333
CIMMYT,CIMMYT,8,#333333
CIMMYT,Non-CGIAR,25,#333333
CIMMYT,IRRI,1,#333333
CIP,Non-CGIAR,14,#333333
CIP,CIP,9,#333333
CIP,CIAT,1,#333333
ICARDA,Non-CGIAR,7,#333333
ICARDA,ICARDA,2,#333333
ICARDA,IFPRI,1,#333333
ICRAF,Non-CGIAR,12,#333333
ICRAF,ICRAF,2,#333333
ICRISAT,ICRISAT,2,#333333
ICRISAT,Non-CGIAR,2,#333333
ICRISAT,ILRI,1,#333333
IFPRI,IFPRI,16,#333333
IFPRI,Non-CGIAR,18,#333333
IFPRI,ILRI,1,#333333
IFPRI,ICARDA,1,#333333
IITA,IITA,11,#333333
IITA,ILRI,2,#333333
IITA,Non-CGIAR,11,#333333
IITA,CIAT,2,#333333
IITA,CIFOR,1,#333333
ILRI,ILRI,18,#333333
ILRI,Non-CGIAR,49,#333333
ILRI,IITA,2,#333333
ILRI,ICRISAT,1,#333333
ILRI,IFPRI,1,#333333
ILRI,CIAT,1,#333333
IRRI,Non-CGIAR,102,#333333
IRRI,IRRI,15,#333333
IRRI,CIMMYT,1,#333333
IWMI,IWMI,7,#333333
IWMI,Non-CGIAR,3,#333333
Non-CGIAR,IRRI,102,#333333
Non-CGIAR,CIP,14,#333333
Non-CGIAR,ILRI,49,#333333
Non-CGIAR,ICRAF,12,#333333
Non-CGIAR,AfricaRice,8,#333333
Non-CGIAR,CIFOR,4,#333333
Non-CGIAR,CIAT,11,#333333
Non-CGIAR,IWMI,3,#333333
Non-CGIAR,IITA,11,#333333
Non-CGIAR,ICARDA,7,#333333
Non-CGIAR,CIMMYT,25,#333333
Non-CGIAR,IFPRI,18,#333333
Non-CGIAR,Bioversity International,4,#333333
Non-CGIAR,ICRISAT,2,#333333
Non-CGIAR,CGIAR,1,#333333
