who,overlap,years,color
Afghanistan,Nepal,1,#333333
Afghanistan,Egypt,1,#333333
Afghanistan,Ethiopia,1,#333333
Afghanistan,Bangladesh,1,#333333
Afghanistan,Pakistan,1,#333333
Afghanistan,Iran,1,#333333
Afghanistan,Syria,1,#333333
Afghanistan,Mexico,1,#333333
Algeria,Scotland,1,#333333
Algeria,Syria,1,#333333
Algeria,Italy,1,#333333
Algeria,Turkey,1,#333333
Algeria,Jordan,1,#333333
Algeria,Morocco,1,#333333
Algeria,Spain,1,#333333
Algeria,Netherlands,1,#333333
Argentina,Italy,1,#333333
Argentina,Malaysia,1,#333333
Armenia,Italy,1,#333333
Armenia,Germany,1,#333333
Armenia,Syria,2,#333333
Armenia,Iran,1,#333333
Armenia,USA,1,#333333
Australia,New Zealand,1,#333333
Australia,India,20,#333333
Australia,USA,17,#333333
Australia,Canada,5,#333333
Australia,Syria,7,#333333
Australia,Nepal,1,#333333
Australia,Morocco,1,#333333
Australia,Turkey,1,#333333
Australia,Mexico,7,#333333
Australia,Kenya,6,#333333
Australia,Ethiopia,4,#333333
Australia,Switzerland,2,#333333
Australia,Malaysia,3,#333333
Australia,Philippines,13,#333333
Australia,Sri Lanka,6,#333333
Australia,Colombia,5,#333333
Australia,Laos,7,#333333
Australia,France,8,#333333
Australia,South Africa,3,#333333
Australia,England,7,#333333
Australia,China,9,#333333
Australia,Bangladesh,2,#333333
Australia,Cameroon,2,#333333
Australia,Scotland,2,#333333
Australia,Pakistan,1,#333333
Australia,Belgium,3,#333333
Australia,Netherlands,5,#333333
Australia,Germany,4,#333333
Australia,Italy,2,#333333
Australia,Uruguay,1,#333333
Australia,Indonesia,7,#333333
Australia,Czech Republic,1,#333333
Australia,Nigeria,2,#333333
Australia,Greece,1,#333333
Australia,Japan,3,#333333
Australia,Peru,2,#333333
Australia,Mali,3,#333333
Australia,Costa Rica,1,#333333
Australia,Denmark,1,#333333
Australia,Solomon Islands,1,#333333
Australia,Sweden,1,#333333
Australia,Ghana,1,#333333
Australia,Uganda,3,#333333
Australia,Vietnam,1,#333333
Austria,Kenya,9,#333333
Austria,Cameroon,1,#333333
Austria,South Africa,2,#333333
Austria,Madagascar,1,#333333
Austria,Tanzania,1,#333333
Austria,Zimbabwe,3,#333333
Austria,Uganda,2,#333333
Austria,Equat Guinea,1,#333333
Austria,Switzerland,1,#333333
Austria,England,1,#333333
Austria,USA,2,#333333
Austria,Germany,1,#333333
Austria,China,1,#333333
Austria,Syria,4,#333333
Austria,Ethiopia,2,#333333
Austria,Mexico,2,#333333
Austria,France,1,#333333
Austria,Netherlands,1,#333333
Azerbaijan,Syria,1,#333333
Bangladesh,Philippines,4,#333333
Bangladesh,Australia,2,#333333
Bangladesh,Nepal,2,#333333
Bangladesh,Egypt,1,#333333
Bangladesh,Afghanistan,1,#333333
Bangladesh,Ethiopia,1,#333333
Bangladesh,Pakistan,1,#333333
Bangladesh,Iran,1,#333333
Bangladesh,Syria,1,#333333
Bangladesh,Mexico,1,#333333
Bangladesh,Scotland,2,#333333
Bangladesh,Netherlands,1,#333333
Bangladesh,Malaysia,1,#333333
Bangladesh,USA,3,#333333
Bangladesh,Vietnam,1,#333333
Belgium,Benin,4,#333333
Belgium,Tanzania,2,#333333
Belgium,Myanmar,2,#333333
Belgium,Ethiopia,6,#333333
Belgium,USA,5,#333333
Belgium,Mexico,4,#333333
Belgium,Australia,3,#333333
Belgium,Kenya,5,#333333
Belgium,Germany,2,#333333
Belgium,Norway,1,#333333
Belgium,India,1,#333333
Belgium,England,2,#333333
Belgium,China,1,#333333
Belgium,South Africa,1,#333333
Belgium,France,2,#333333
Belgium,Senegal,2,#333333
Belgium,Gabon,1,#333333
Belgium,Cameroon,3,#333333
Belgium,Congo,1,#333333
Belgium,Denmark,1,#333333
Belgium,Burkina Faso,1,#333333
Belgium,Mali,1,#333333
Belgium,Switzerland,1,#333333
Belgium,Philippines,1,#333333
Belgium,Malawi,1,#333333
Belgium,Uganda,1,#333333
Belgium,Rwanda,2,#333333
Belgium,Colombia,3,#333333
Belgium,Cote Ivoire,1,#333333
Belgium,Czech Republic,1,#333333
Benin,USA,3,#333333
Benin,Belgium,4,#333333
Benin,Tanzania,5,#333333
Benin,France,8,#333333
Benin,Netherlands,2,#333333
Benin,Myanmar,1,#333333
Benin,Nicaragua,1,#333333
Benin,Portugal,1,#333333
Benin,Philippines,2,#333333
Benin,Senegal,2,#333333
Benin,Guadeloupe,1,#333333
Benin,Nigeria,3,#333333
Benin,Cameroon,1,#333333
Benin,Switzerland,2,#333333
Benin,Czech Republic,1,#333333
Benin,Poland,1,#333333
Benin,Togo,3,#333333
Benin,Brazil,2,#333333
Benin,Kenya,1,#333333
Benin,Italy,1,#333333
Benin,Burkina Faso,2,#333333
Benin,Japan,2,#333333
Benin,Ghana,1,#333333
Benin,Germany,1,#333333
Benin,Spain,1,#333333
Bolivia,USA,2,#333333
Bolivia,Indonesia,1,#333333
Bolivia,England,1,#333333
Bolivia,Peru,3,#333333
Bolivia,Ecuador,1,#333333
Bolivia,Kenya,1,#333333
Bolivia,Netherlands,1,#333333
Bolivia,Ethiopia,1,#333333
Bolivia,Uganda,1,#333333
Bolivia,Paraguay,1,#333333
Bolivia,Brazil,1,#333333
Brazil,Indonesia,4,#333333
Brazil,Norway,1,#333333
Brazil,Colombia,2,#333333
Brazil,USA,4,#333333
Brazil,Mexico,1,#333333
Brazil,Spain,2,#333333
Brazil,England,1,#333333
Brazil,Costa Rica,1,#333333
Brazil,Mali,1,#333333
Brazil,France,4,#333333
Brazil,Germany,2,#333333
Brazil,Mozambique,1,#333333
Brazil,Peru,2,#333333
Brazil,Switzerland,2,#333333
Brazil,Czech Republic,1,#333333
Brazil,Poland,1,#333333
Brazil,Nigeria,2,#333333
Brazil,Togo,2,#333333
Brazil,Benin,2,#333333
Brazil,Paraguay,1,#333333
Brazil,Bolivia,1,#333333
Brazil,South Africa,1,#333333
Brazil,Kenya,1,#333333
Brazil,Ecuador,2,#333333
Brazil,Canada,2,#333333
Burkina Faso,France,2,#333333
Burkina Faso,Ghana,1,#333333
Burkina Faso,Mali,2,#333333
Burkina Faso,Kenya,1,#333333
Burkina Faso,Denmark,1,#333333
Burkina Faso,Belgium,1,#333333
Burkina Faso,Sweden,1,#333333
Burkina Faso,Indonesia,1,#333333
Burkina Faso,Cameroon,1,#333333
Burkina Faso,USA,2,#333333
Burkina Faso,Benin,2,#333333
Cameroon,Austria,1,#333333
Cameroon,Kenya,6,#333333
Cameroon,South Africa,1,#333333
Cameroon,Madagascar,1,#333333
Cameroon,Tanzania,1,#333333
Cameroon,Zimbabwe,1,#333333
Cameroon,Uganda,1,#333333
Cameroon,Equat Guinea,1,#333333
Cameroon,England,4,#333333
Cameroon,Netherlands,2,#333333
Cameroon,France,1,#333333
Cameroon,Indonesia,3,#333333
Cameroon,Australia,2,#333333
Cameroon,Scotland,1,#333333
Cameroon,Malawi,2,#333333
Cameroon,Nigeria,3,#333333
Cameroon,Mozambique,1,#333333
Cameroon,Gabon,1,#333333
Cameroon,Belgium,3,#333333
Cameroon,Congo,1,#333333
Cameroon,Ghana,2,#333333
Cameroon,Benin,1,#333333
Cameroon,USA,2,#333333
Cameroon,Burkina Faso,1,#333333
Cameroon,Zaire,2,#333333
Cameroon,Canada,1,#333333
Canada,Syria,3,#333333
Canada,Australia,5,#333333
Canada,USA,6,#333333
Canada,Nepal,1,#333333
Canada,Morocco,1,#333333
Canada,Turkey,1,#333333
Canada,Kenya,6,#333333
Canada,Switzerland,3,#333333
Canada,Malaysia,2,#333333
Canada,Israel,1,#333333
Canada,Sri Lanka,2,#333333
Canada,China,2,#333333
Canada,Vietnam,1,#333333
Canada,Peru,3,#333333
Canada,Italy,3,#333333
