who,overlap,years,color
Argentina,Bolivia,1,#333333
Australia,New Zealand,1,#333333
Australia,USA,8,#333333
Australia,Mexico,7,#333333
Australia,Scotland,1,#333333
Australia,Cameroon,1,#333333
Australia,South Africa,4,#333333
Australia,France,3,#333333
Australia,Switzerland,1,#333333
Australia,Japan,3,#333333
Australia,Philippines,6,#333333
Australia,Bangladesh,1,#333333
Australia,Kenya,3,#333333
Australia,Netherlands,2,#333333
Australia,Italy,2,#333333
Australia,England,3,#333333
Australia,Brazil,3,#333333
Australia,Chile,2,#333333
Australia,China,6,#333333
Australia,Nepal,1,#333333
Australia,Sri Lanka,1,#333333
Australia,Thailand,1,#333333
Australia,New Caledonia,1,#333333
Australia,Malaysia,1,#333333
Australia,India,1,#333333
Australia,South Korea,1,#333333
Australia,Taiwan,1,#333333
Australia,Singapore,1,#333333
Australia,Sweden,1,#333333
Australia,Denmark,1,#333333
Australia,Indonesia,1,#333333
Austria,Peru,1,#333333
Austria,Kenya,1,#333333
Bangladesh,Philippines,2,#333333
Bangladesh,Australia,1,#333333
Bangladesh,England,3,#333333
Bangladesh,USA,1,#333333
Bangladesh,Greece,1,#333333
Bangladesh,Nepal,1,#333333
Bangladesh,India,1,#333333
Belgium,Zambia,1,#333333
Belgium,Scotland,1,#333333
Belgium,Kenya,1,#333333
Belgium,Nigeria,2,#333333
Belgium,England,3,#333333
Belgium,Uganda,1,#333333
Belgium,Ghana,1,#333333
Benin,Netherlands,1,#333333
Benin,Togo,1,#333333
Benin,Germany,3,#333333
Benin,Kenya,1,#333333
Benin,France,1,#333333
Benin,Colombia,1,#333333
Benin,South Africa,2,#333333
Benin,Nigeria,1,#333333
Bolivia,Germany,2,#333333
Bolivia,England,2,#333333
Bolivia,Scotland,2,#333333
Bolivia,Brazil,2,#333333
Bolivia,USA,4,#333333
Bolivia,Panama,2,#333333
Bolivia,Peru,2,#333333
Bolivia,Ecuador,2,#333333
Bolivia,Colombia,1,#333333
Bolivia,Argentina,1,#333333
Brazil,Germany,3,#333333
Brazil,Kenya,3,#333333
Brazil,Italy,3,#333333
Brazil,USA,8,#333333
Brazil,Costa Rica,1,#333333
Brazil,Indonesia,3,#333333
Brazil,England,5,#333333
Brazil,Scotland,2,#333333
Brazil,Bolivia,2,#333333
Brazil,Panama,2,#333333
Brazil,Peru,2,#333333
Brazil,Ecuador,2,#333333
Brazil,South Africa,3,#333333
Brazil,Chile,2,#333333
Brazil,Australia,3,#333333
Brazil,China,2,#333333
Brazil,Colombia,3,#333333
Brazil,France,1,#333333
Brazil,Mexico,1,#333333
Brazil,Sweden,1,#333333
Brazil,Denmark,1,#333333
Brazil,Philippines,1,#333333
Burkina Faso,Germany,1,#333333
Burkina Faso,Kenya,1,#333333
Burkina Faso,Senegal,1,#333333
