who,overlap,years,color
Algeria,Mexico,1,#333333
Argentina,Mexico,1,#333333
Australia,Italy,1,#333333
Australia,Mexico,3,#333333
Australia,China,2,#333333
Australia,Nepal,1,#333333
Australia,Cambodia,2,#333333
Australia,Philippines,4,#333333
Australia,USA,6,#333333
Australia,Netherlands,1,#333333
Australia,South Africa,1,#333333
Australia,Ethiopia,2,#333333
Australia,Brazil,1,#333333
Australia,Switzerland,1,#333333
Australia,Vietnam,1,#333333
Australia,Kenya,1,#333333
Australia,Scotland,1,#333333
Australia,England,4,#333333
Australia,India,4,#333333
Australia,Thailand,2,#333333
Australia,Sri Lanka,4,#333333
Australia,Solomon Islands,1,#333333
Australia,Laos,1,#333333
Australia,Cameroon,1,#333333
Australia,Syria,1,#333333
Australia,Singapore,1,#333333
Australia,Colombia,1,#333333
Austria,Peru,2,#333333
Austria,Uganda,1,#333333
Austria,Kenya,1,#333333
Bangladesh,Philippines,2,#333333
Bangladesh,India,2,#333333
Bangladesh,Nepal,1,#333333
Bangladesh,USA,4,#333333
Bangladesh,China,1,#333333
Bangladesh,Malaysia,2,#333333
Bangladesh,Thailand,1,#333333
Bangladesh,Indonesia,1,#333333
Bangladesh,Mexico,1,#333333
Bangladesh,England,1,#333333
Belgium,Syria,1,#333333
Belgium,France,3,#333333
Belgium,Bolivia,1,#333333
Belgium,Peru,1,#333333
Belgium,Uganda,1,#333333
Belgium,Netherlands,2,#333333
Belgium,Kenya,4,#333333
Belgium,Burkina Faso,1,#333333
Belgium,Ethiopia,1,#333333
Belgium,Niger,1,#333333
Belgium,South Africa,1,#333333
Belgium,Zambia,1,#333333
Belgium,Zimbabwe,1,#333333
Belgium,Nigeria,1,#333333
Belgium,Germany,1,#333333
Benin,Cameroon,1,#333333
Benin,Togo,2,#333333
Benin,Netherlands,2,#333333
Bolivia,Peru,3,#333333
Bolivia,Netherlands,1,#333333
Bolivia,USA,1,#333333
Bolivia,Indonesia,1,#333333
Bolivia,Belgium,1,#333333
Brazil,USA,6,#333333
Brazil,Colombia,2,#333333
Brazil,Indonesia,3,#333333
Brazil,Switzerland,1,#333333
Brazil,Vietnam,1,#333333
Brazil,China,1,#333333
Brazil,Kenya,4,#333333
Brazil,Australia,1,#333333
Brazil,Philippines,1,#333333
Brazil,Scotland,1,#333333
Brazil,England,1,#333333
Brazil,France,1,#333333
Brazil,Germany,1,#333333
Brazil,Italy,1,#333333
Burkina Faso,Senegal,1,#333333
Burkina Faso,Togo,1,#333333
Burkina Faso,Mali,1,#333333
Burkina Faso,Mauritania,1,#333333
Burkina Faso,Kenya,2,#333333
Burkina Faso,Germany,1,#333333
Burkina Faso,Canada,1,#333333
Burkina Faso,Scotland,1,#333333
Burkina Faso,Philippines,1,#333333
Burkina Faso,Cote Ivoire,1,#333333
Burkina Faso,Uruguay,1,#333333
Burkina Faso,Ethiopia,1,#333333
Burkina Faso,Niger,1,#333333
Burkina Faso,Belgium,1,#333333
Cambodia,Australia,2,#333333
Cambodia,Philippines,1,#333333
Cameroon,Benin,1,#333333
Cameroon,Togo,1,#333333
Cameroon,England,3,#333333
Cameroon,Nigeria,2,#333333
Cameroon,Scotland,1,#333333
Cameroon,Cote Ivoire,1,#333333
Cameroon,Ghana,1,#333333
Cameroon,Australia,1,#333333
Cameroon,Netherlands,1,#333333
Canada,Philippines,1,#333333
Canada,USA,4,#333333
Canada,Colombia,1,#333333
Canada,Mexico,2,#333333
Canada,Cote Ivoire,1,#333333
Canada,Kenya,3,#333333
Canada,Germany,1,#333333
Canada,Burkina Faso,1,#333333
Canada,Scotland,1,#333333
Canada,Sri Lanka,2,#333333
Canada,Peru,2,#333333
Canada,England,2,#333333
Canada,Zimbabwe,2,#333333
Canada,Netherlands,1,#333333
Canada,Denmark,1,#333333
Canada,Trinid & Tobago,1,#333333
Canada,India,1,#333333
Chile,Mexico,1,#333333
China,Italy,2,#333333
China,Mexico,5,#333333
China,Australia,2,#333333
China,Kenya,2,#333333
China,Germany,2,#333333
China,Ethiopia,1,#333333
China,Philippines,19,#333333
China,USA,6,#333333
China,Brazil,1,#333333
China,Switzerland,1,#333333
China,Vietnam,3,#333333
China,Scotland,1,#333333
China,Indonesia,2,#333333
China,India,6,#333333
China,Bangladesh,1,#333333
China,Malaysia,1,#333333
China,Thailand,1,#333333
China,North Ireland,1,#333333
Colombia,Honduras,1,#333333
Colombia,USA,3,#333333
Colombia,Brazil,2,#333333
Colombia,Canada,1,#333333
Colombia,Norway,2,#333333
Colombia,Switzerland,5,#333333
Colombia,France,4,#333333
Colombia,Kenya,4,#333333
Colombia,Fiji,1,#333333
Colombia,Mexico,2,#333333
Colombia,England,2,#333333
Colombia,Wales,1,#333333
Colombia,Germany,1,#333333
Colombia,Vietnam,1,#333333
Colombia,Nepal,1,#333333
Colombia,Netherlands,1,#333333
Colombia,Nigeria,1,#333333
Colombia,Japan,1,#333333
Colombia,Zambia,1,#333333
Colombia,Peru,1,#333333
Colombia,Singapore,1,#333333
Colombia,Australia,1,#333333
Costa Rica,Scotland,1,#333333
Costa Rica,Kenya,1,#333333
Costa Rica,Indonesia,1,#333333
Costa Rica,USA,1,#333333
Cote Ivoire,USA,3,#333333
Cote Ivoire,Germany,4,#333333
Cote Ivoire,England,1,#333333
Cote Ivoire,Togo,1,#333333
Cote Ivoire,Senegal,1,#333333
Cote Ivoire,Mali,1,#333333
Cote Ivoire,Netherlands,2,#333333
Cote Ivoire,Ghana,2,#333333
Cote Ivoire,France,3,#333333
Cote Ivoire,Canada,1,#333333
Cote Ivoire,Burkina Faso,1,#333333
Cote Ivoire,Uruguay,1,#333333
Cote Ivoire,Kenya,1,#333333
Cote Ivoire,Nigeria,1,#333333
Cote Ivoire,Cameroon,1,#333333
Denmark,Mexico,3,#333333
Denmark,Sri Lanka,3,#333333
Denmark,Japan,1,#333333
Denmark,Philippines,1,#333333
Denmark,Sweden,1,#333333
Denmark,Malawi,1,#333333
Denmark,Nigeria,1,#333333
Denmark,Syria,1,#333333
Denmark,Canada,1,#333333
Denmark,Trinid & Tobago,1,#333333
Denmark,India,1,#333333
Denmark,England,1,#333333
Denmark,USA,1,#333333
Egypt,USA,1,#333333
Egypt,Philippines,1,#333333
Egypt,India,1,#333333
Egypt,Jordan,1,#333333
England,USA,9,#333333
England,Kenya,13,#333333
England,Philippines,7,#333333
England,Germany,3,#333333
England,Togo,1,#333333
England,Cote Ivoire,1,#333333
England,Netherlands,4,#333333
England,Uganda,4,#333333
England,Tanzania,4,#333333
England,Wales,2,#333333
England,India,4,#333333
England,Sri Lanka,4,#333333
England,Ethiopia,4,#333333
England,Australia,4,#333333
England,Canada,2,#333333
England,Zimbabwe,1,#333333
England,Israel,1,#333333
England,Japan,1,#333333
England,Nigeria,4,#333333
England,Mexico,3,#333333
England,South Africa,1,#333333
England,Colombia,2,#333333
England,Peru,1,#333333
England,Cameroon,3,#333333
England,Scotland,1,#333333
England,Syria,1,#333333
England,Brazil,1,#333333
England,Denmark,1,#333333
England,Trinid & Tobago,1,#333333
England,Italy,1,#333333
England,Turkey,1,#333333
England,Vietnam,1,#333333
England,Bangladesh,1,#333333
Ethiopia,Uganda,2,#333333
Ethiopia,Kenya,7,#333333
Ethiopia,China,1,#333333
