who,overlap,years,color
AfricaRice,Non-CGIAR,10,#333333
AfricaRice,IITA,1,#333333
AfricaRice,AfricaRice,3,#333333
Bioversity International,Non-CGIAR,8,#333333
Bioversity International,CIAT,1,#333333
CIAT,Non-CGIAR,29,#333333
CIAT,CIAT,7,#333333
CIAT,CIP,3,#333333
CIAT,Bioversity International,1,#333333
CIAT,IITA,1,#333333
CIAT,CIMMYT,1,#333333
CIAT,PRG,1,#333333
CIAT,ICRISAT,1,#333333
CIFOR,Non-CGIAR,3,#333333
CIMMYT,Non-CGIAR,55,#333333
CIMMYT,CIMMYT,19,#333333
CIMMYT,ICARDA,3,#333333
CIMMYT,IRRI,2,#333333
CIMMYT,IFPRI,1,#333333
CIMMYT,CIAT,1,#333333
CIP,Non-CGIAR,19,#333333
CIP,IRRI,1,#333333
CIP,CIAT,3,#333333
CIP,CIP,4,#333333
CIP,ILRI,1,#333333
ICARDA,Non-CGIAR,15,#333333
ICARDA,CIMMYT,3,#333333
ICARDA,ICARDA,5,#333333
ICARDA,ICRISAT,1,#333333
ICRAF,ICRAF,7,#333333
ICRAF,Non-CGIAR,12,#333333
ICRAF,ILRI,2,#333333
ICRAF,IFPRI,2,#333333
ICRAF,IITA,1,#333333
ICRISAT,Non-CGIAR,7,#333333
ICRISAT,ICRISAT,1,#333333
ICRISAT,PRG,1,#333333
ICRISAT,CIAT,1,#333333
ICRISAT,IRRI,1,#333333
ICRISAT,ICARDA,1,#333333
IFPRI,IFPRI,9,#333333
IFPRI,ICRAF,2,#333333
IFPRI,Non-CGIAR,26,#333333
IFPRI,ILRI,2,#333333
IFPRI,CIMMYT,1,#333333
IITA,Non-CGIAR,15,#333333
IITA,ICRAF,1,#333333
IITA,IITA,8,#333333
IITA,AfricaRice,1,#333333
IITA,CIAT,1,#333333
IITA,ILRI,1,#333333
ILRI,Non-CGIAR,65,#333333
ILRI,ILRI,13,#333333
ILRI,ICRAF,2,#333333
ILRI,IFPRI,2,#333333
ILRI,CIP,1,#333333
ILRI,IITA,1,#333333
IRRI,Non-CGIAR,67,#333333
IRRI,IRRI,9,#333333
IRRI,CIP,1,#333333
IRRI,CIMMYT,2,#333333
IRRI,ICRISAT,1,#333333
IWMI,IWMI,8,#333333
IWMI,Non-CGIAR,7,#333333
Non-CGIAR,IRRI,67,#333333
Non-CGIAR,CIMMYT,55,#333333
Non-CGIAR,ILRI,65,#333333
Non-CGIAR,IITA,15,#333333
Non-CGIAR,ICRAF,12,#333333
Non-CGIAR,CIAT,29,#333333
Non-CGIAR,ICRISAT,7,#333333
Non-CGIAR,IFPRI,26,#333333
Non-CGIAR,CIP,19,#333333
Non-CGIAR,ICARDA,15,#333333
Non-CGIAR,IWMI,7,#333333
Non-CGIAR,AfricaRice,10,#333333
Non-CGIAR,CIFOR,3,#333333
Non-CGIAR,Bioversity International,8,#333333
Non-CGIAR,PRG,1,#333333
PRG,CIAT,1,#333333
PRG,Non-CGIAR,1,#333333
PRG,ICRISAT,1,#333333
