who,overlap,years,color
Algeria,Spain,1,#333333
Algeria,France,2,#333333
Algeria,Mexico,1,#333333
Algeria,Morocco,1,#333333
Algeria,Tunisia,1,#333333
Algeria,Ghana,1,#333333
Argentina,Australia,1,#333333
Argentina,Mexico,1,#333333
Argentina,Peru,1,#333333
Argentina,USA,1,#333333
Argentina,Philippines,1,#333333
Australia,USA,10,#333333
Australia,Denmark,3,#333333
Australia,South Africa,1,#333333
Australia,Brazil,2,#333333
Australia,Canada,1,#333333
Australia,Philippines,7,#333333
Australia,Mexico,10,#333333
Australia,Colombia,3,#333333
Australia,Japan,2,#333333
Australia,Argentina,1,#333333
Australia,Malaysia,2,#333333
Australia,Vietnam,4,#333333
Australia,China,10,#333333
Australia,Switzerland,5,#333333
Australia,Pakistan,2,#333333
Australia,Syria,2,#333333
Australia,Sri Lanka,6,#333333
Australia,France,2,#333333
Australia,India,4,#333333
Australia,Laos,4,#333333
Australia,England,2,#333333
Australia,Kenya,1,#333333
Australia,Spain,1,#333333
Australia,Cameroon,1,#333333
Australia,Scotland,1,#333333
Australia,Cambodia,2,#333333
Australia,Indonesia,1,#333333
Australia,Uganda,1,#333333
Austria,England,1,#333333
Austria,Ghana,1,#333333
Austria,Philippines,1,#333333
Austria,Kenya,4,#333333
Austria,Ethiopia,1,#333333
Austria,Uganda,1,#333333
Azerbaijan,Iran,1,#333333
Azerbaijan,Syria,1,#333333
Azerbaijan,Sri Lanka,1,#333333
Bangladesh,Wales,1,#333333
Bangladesh,Nepal,2,#333333
Bangladesh,USA,2,#333333
Bangladesh,Ireland,1,#333333
Bangladesh,Canada,1,#333333
Bangladesh,Sri Lanka,1,#333333
Bangladesh,Pakistan,1,#333333
Bangladesh,Burkina Faso,1,#333333
Bangladesh,Senegal,1,#333333
Bangladesh,Botswana,1,#333333
Bangladesh,Kenya,1,#333333
Bangladesh,Philippines,2,#333333
Bangladesh,Malaysia,1,#333333
Bangladesh,India,1,#333333
Bangladesh,South Korea,1,#333333
Bangladesh,England,1,#333333
Bangladesh,Mexico,1,#333333
Belgium,India,2,#333333
Belgium,Iran,1,#333333
Belgium,Japan,1,#333333
Belgium,Germany,1,#333333
Belgium,Philippines,3,#333333
Belgium,Luxembourg,2,#333333
Belgium,Peru,3,#333333
Belgium,Kenya,2,#333333
Belgium,Benin,2,#333333
Belgium,Netherlands,1,#333333
Belgium,Denmark,1,#333333
Belgium,Mexico,5,#333333
Belgium,Ethiopia,2,#333333
Belgium,Uganda,1,#333333
Belgium,Cameroon,1,#333333
Belgium,Malawi,1,#333333
Belgium,Nigeria,2,#333333
Belgium,Sri Lanka,1,#333333
Belgium,Senegal,2,#333333
Belgium,Switzerland,1,#333333
Belgium,Colombia,1,#333333
Belgium,Tunisia,1,#333333
Belgium,Syria,1,#333333
Belgium,USA,1,#333333
Belgium,Cote Ivoire,1,#333333
Belgium,Madagascar,1,#333333
Belgium,France,1,#333333
Benin,Germany,2,#333333
Benin,Nigeria,4,#333333
Benin,Guinea,1,#333333
Benin,France,7,#333333
Benin,Belgium,2,#333333
Benin,Netherlands,1,#333333
Benin,England,1,#333333
Benin,Japan,6,#333333
Benin,Canada,1,#333333
Benin,Uganda,2,#333333
Benin,Burkina Faso,2,#333333
Benin,Cote Ivoire,3,#333333
Benin,Mali,1,#333333
Benin,Madagascar,2,#333333
Benin,Tanzania,3,#333333
Benin,Zambia,1,#333333
Benin,USA,2,#333333
Benin,Laos,1,#333333
Benin,South Africa,1,#333333
Benin,Philippines,1,#333333
Benin,Ghana,1,#333333
Bolivia,Colombia,1,#333333
Bolivia,Indonesia,1,#333333
Bolivia,England,1,#333333
Bolivia,Denmark,1,#333333
Botswana,Ireland,1,#333333
Botswana,Canada,1,#333333
Botswana,Bangladesh,1,#333333
Botswana,Sri Lanka,1,#333333
Botswana,Pakistan,1,#333333
Botswana,Burkina Faso,1,#333333
Botswana,Senegal,1,#333333
Botswana,Kenya,1,#333333
Brazil,Australia,2,#333333
Brazil,Peru,2,#333333
Brazil,Netherlands,3,#333333
Brazil,Sri Lanka,2,#333333
Brazil,Italy,1,#333333
Brazil,Uganda,2,#333333
Brazil,Kenya,2,#333333
Brazil,USA,2,#333333
Brazil,Philippines,1,#333333
Brazil,Switzerland,1,#333333
Brazil,Vietnam,1,#333333
Brazil,France,2,#333333
Brazil,Spain,1,#333333
Brazil,South Africa,1,#333333
Brazil,Colombia,2,#333333
Brazil,Cote Ivoire,1,#333333
Brazil,Nigeria,1,#333333
Burkina Faso,Kenya,2,#333333
Burkina Faso,Sweden,1,#333333
Burkina Faso,Ireland,1,#333333
Burkina Faso,Canada,1,#333333
Burkina Faso,Bangladesh,1,#333333
Burkina Faso,Sri Lanka,1,#333333
Burkina Faso,Pakistan,1,#333333
Burkina Faso,Senegal,1,#333333
Burkina Faso,Botswana,1,#333333
Burkina Faso,France,2,#333333
Burkina Faso,Cote Ivoire,2,#333333
Burkina Faso,Mali,2,#333333
Burkina Faso,Madagascar,2,#333333
Burkina Faso,Tanzania,2,#333333
Burkina Faso,Benin,2,#333333
Cambodia,Vietnam,1,#333333
Cambodia,Denmark,3,#333333
Cambodia,Sri Lanka,1,#333333
Cambodia,Australia,2,#333333
Cambodia,Laos,2,#333333
Cambodia,USA,1,#333333
Cameroon,Spain,2,#333333
Cameroon,Switzerland,2,#333333
Cameroon,Indonesia,2,#333333
Cameroon,France,2,#333333
Cameroon,Nigeria,1,#333333
Cameroon,USA,1,#333333
Cameroon,Togo,1,#333333
Cameroon,Uganda,1,#333333
Cameroon,Mexico,1,#333333
Cameroon,Malawi,1,#333333
Cameroon,Belgium,1,#333333
Cameroon,Gabon,1,#333333
Cameroon,Australia,1,#333333
Cameroon,Canada,1,#333333
Cameroon,Thailand,1,#333333
Canada,Australia,1,#333333
Canada,Philippines,4,#333333
Canada,Mexico,5,#333333
Canada,India,2,#333333
Canada,Ireland,1,#333333
Canada,Bangladesh,1,#333333
Canada,Sri Lanka,1,#333333
Canada,Pakistan,1,#333333
Canada,Burkina Faso,1,#333333
Canada,Senegal,1,#333333
Canada,Botswana,1,#333333
Canada,Kenya,1,#333333
Canada,Switzerland,1,#333333
Canada,USA,4,#333333
Canada,Uganda,1,#333333
Canada,Benin,1,#333333
Canada,Syria,1,#333333
Canada,Nigeria,1,#333333
Canada,Cameroon,1,#333333
China,USA,9,#333333
China,England,2,#333333
China,Philippines,11,#333333
China,Mexico,8,#333333
China,Colombia,1,#333333
China,Japan,1,#333333
China,Australia,10,#333333
China,Netherlands,1,#333333
China,Sri Lanka,2,#333333
China,Germany,1,#333333
China,Kenya,2,#333333
China,Scotland,1,#333333
China,South Korea,1,#333333
China,India,2,#333333
Colombia,Germany,5,#333333
Colombia,Denmark,1,#333333
Colombia,USA,9,#333333
Colombia,Australia,3,#333333
Colombia,China,1,#333333
Colombia,Mexico,6,#333333
Colombia,Italy,1,#333333
Colombia,Bolivia,1,#333333
Colombia,Sri Lanka,3,#333333
Colombia,France,2,#333333
Colombia,Senegal,1,#333333
Colombia,Switzerland,5,#333333
Colombia,Kenya,2,#333333
Colombia,Ethiopia,2,#333333
Colombia,Peru,2,#333333
Colombia,Brazil,2,#333333
Colombia,India,1,#333333
Colombia,Syria,1,#333333
Colombia,Philippines,1,#333333
