who,overlap,years,color
Afghanistan,Lebanon,1,#333333
Afghanistan,Jordan,1,#333333
Afghanistan,India,1,#333333
Algeria,Spain,1,#333333
Algeria,Egypt,1,#333333
Argentina,Mexico,1,#333333
Argentina,USA,2,#333333
Argentina,Italy,1,#333333
Argentina,Philippines,1,#333333
Argentina,Australia,1,#333333
Argentina,China,1,#333333
Argentina,Germany,3,#333333
Argentina,Denmark,1,#333333
Argentina,Kenya,1,#333333
Argentina,Iran,1,#333333
Argentina,Cuba,1,#333333
Argentina,France,1,#333333
Argentina,Slovakia,1,#333333
Argentina,England,1,#333333
Argentina,South Africa,1,#333333
Argentina,Pakistan,1,#333333
Argentina,Byelarus,1,#333333
Argentina,Ethiopia,1,#333333
Argentina,Canada,1,#333333
Argentina,Jordan,1,#333333
Australia,Bangladesh,3,#333333
Australia,Kenya,11,#333333
Australia,India,10,#333333
Australia,Mexico,10,#333333
Australia,Nepal,2,#333333
Australia,Netherlands,9,#333333
Australia,Italy,10,#333333
Australia,USA,22,#333333
Australia,Colombia,1,#333333
Australia,England,16,#333333
Australia,Scotland,3,#333333
Australia,Cambodia,1,#333333
Australia,Sweden,4,#333333
Australia,Tanzania,4,#333333
Australia,Japan,6,#333333
Australia,Benin,5,#333333
Australia,China,7,#333333
Australia,Philippines,21,#333333
Australia,Indonesia,9,#333333
Australia,South Africa,3,#333333
Australia,Czech Republic,1,#333333
Australia,Brazil,2,#333333
Australia,Spain,1,#333333
Australia,Burkina Faso,2,#333333
Australia,Mali,1,#333333
Australia,Costa Rica,1,#333333
Australia,Norway,1,#333333
Australia,Germany,4,#333333
Australia,Zimbabwe,1,#333333
Australia,Switzerland,1,#333333
Australia,Peru,1,#333333
Australia,Egypt,2,#333333
Australia,Pakistan,2,#333333
Australia,Argentina,1,#333333
Australia,Uganda,1,#333333
Australia,Ethiopia,2,#333333
Australia,Sri Lanka,4,#333333
Australia,Vietnam,2,#333333
Australia,Denmark,3,#333333
Australia,Uruguay,1,#333333
Australia,Thailand,1,#333333
Australia,Canada,2,#333333
Australia,France,2,#333333
Australia,Jamaica,1,#333333
